Title: The ASAS-SN Bright Supernova Catalog -- II. 2015
Authors: T. W.-S. Holoien et al.
Table: Table 1 - ASAS-SN Supernovae
================================================================================
Byte-by-byte Description of file: table1.txt
--------------------------------------------------------------------------------
   Bytes Format Units  Label      Explanations
--------------------------------------------------------------------------------
   1- 11 A11    ---      SNName     Name of supernova
  13- 19 A7     ---      IAUName    IAU name of supernova (1)
  21- 33 A13    ---      DiscDate   Discovery Date
  35- 45 F11.2  ---      RA         Right Ascension (2)
  47- 57 F11.1  ---      Dec        Declination (2)
  59- 65 F7.5   ---      Redshift   Redshift of supernova
  67- 70 F4.1   mag      DiscMag    Discovery V-band Magnitude (3)
  72- 75 F4.1   mag      PeakMag    Peak V-band Magnitude (3)
  77- 82 A6     arcsec   Offset     Offset from host nucleus (4)
  84- 90 A7     ---      Type       Type of supernova
  92- 95 A4     d        DiscAge    Age of supernova at discovery, relative to peak (5)
  97-126 A30    ---      HostName   Host galaxy name
 128-153 A26    ---      DiscAtel   Discovery ATel
 155-184 A30    ---      ClassAtel  Classification ATel
--------------------------------------------------------------------------------
Note (1):   IAU name is not provided if one was not given to the supernova.
Note (2):   Right ascension and declination are given in the J2000 epoch.
Note (3):   All magnitudes are V -band magnitudes from ASAS-SN.
Note (4):   Offset indicates the offset of the SN in arcseconds from the coordinates of the host nucleus, taken from NED.
Note (5):   Discovery ages are given in days relative to peak. All ages are approximate and are only listed if a clear age was given in the classification telegram.
--------------------------------------------------------------------------------
ASASSN-15go ---     2015-04-06.05        6.00       -16.0 0.01892 16.5 15.8 5.00   Ia      -9   2MASX J06113048-1629085        Monard et al. (2015)       Childress et al. (2015b)       
ASASSN-15gr ---     2015-04-09.05        6.00       -34.0 0.02400 16.6 16.0 18.93  Ia      -6   ESO 366-G015                   Kiyota et al. (2015i)      Cartier et al. (2015)          
ASASSN-15gw ---     2015-04-10.54       14.00        39.0 0.01951 16.3 16.2 1.70   Ia      ---  NGC 5536                       Holoien et al. (2015e)     Falco et al. (2015d)           
ASASSN-15gz ---     2015-04-13.31       14.00       -13.0 0.03403 17.5 16.7 9.69   Ia      -4   2MASX J14423254-1327294        Brimacombe et al. (2015n)  Zhang & Wang (2015d)           
ASASSN-15hc ---     2015-04-15.20       10.00        -2.0 0.03098 17.2 16.6 5.11   Ia      6    LCRS B102206.7-024353          Kiyota et al. (2015j)      Falco et al. (2015d)           
ASASSN-15he ---     2015-04-12.34       16.00       -67.0 0.01588 16.3 16.2 10.41  Ia      -3   ESO 069-G005                   Brimacombe et al. (2015o)  Prajs et al. (2015)            
ASASSN-15hf ---     2015-04-17.05       10.00       -35.0 0.00618 14.9 14.3 2.16   Ia      -7   ESO 375-G041                   Holoien et al. (2015f)     Prajs et al. (2015)            
ASASSN-15hg ---     2015-04-19.33        9.00         9.0 0.02977 17.0 16.6 9.10   Ia      -1   CGCG 063-098                   Brimacombe et al. (2015p)  Falco et al. (2015e)           
ASASSN-15hh ---     2015-04-20.02        5.00       -50.0 0.02339 16.0 15.7 15.78  Ia      -5   NGC 2115A                      Nicholls et al. (2015a)    Prieto & Shappee (2015)        
ASASSN-15ho ---     2015-04-19.06        9.00        -4.0 0.04600 16.9 16.2 7.83   Ia      0    2MASXi J0909234-044327         Kiyota et al. (2015k)      Falco et al. (2015f)           
ASASSN-15hs ---     2015-04-24.18       15.00       -78.0 0.00910 17.0 16.3 2.70   IIn     ---  ESO 022-G010                   Shappee et al. (2015c)     Childress et al. (2015c)       
ASASSN-15hx ---     2015-04-26.18       13.00       -31.0 0.00810 15.1 13.3 3.06   Ia      -11  GALEXASC J134316.80-313318.2   Dong et al. (2015d)        Frohmaier et al. (2015)        
ASASSN-15hy ---     2015-04-25.21       20.00        -0.0 0.02500 16.5 15.2 12.90  Ia-07if -14  Uncatalogued                   Holoien et al. (2015g)     Frohmaier et al. (2015)        
ASASSN-15hz ---     2015-04-26.38       22.00       -65.0 0.03300 17.4 16.1 3.58   Ia      -6   APMUKS(BJ) B222606.49-654315.6 Holoien et al. (2015g)     Childress et al. (2015c)       
ASASSN-15ic ---     2015-04-27.00        6.00       -42.0 0.02500 16.5 15.9 29.00  Ia      -3   2MASX J06145320-4247357        Brimacombe et al. (2015q)  Childress et al. (2015c)       
ASASSN-15ih ---     2015-05-06.07        9.00        -2.0 0.01983 16.4 16.0 8.39   Ia      -6   GALEXASC J095959.71-025322.1   Kiyota et al. (2015l)      Kim et al. (2015)              
ASASSN-15ik ---     2015-05-11.24       11.00         3.0 0.03480 17.0 16.6 1.46   IIn     ---  SDSS J110204.81+033003.1       Brimacombe et al. (2015r)  Challis et al. (2015d)         
ASASSN-15il ---     2015-05-11.31       15.00       -12.0 0.02332 16.5 16.2 1.77   Ia      -5   2MASX J15570808-1240252        Brimacombe et al. (2015r)  Challis et al. (2015d)         
ASASSN-15ir ---     2015-05-08.02       10.00       -21.0 0.01274 17.0 16.5 12.47  II      -1-6 ESO 569-G009                   Holoien et al. (2015h)     Pan et al. (2015a)             
ASASSN-15ja ---     2015-05-13.43        1.00       -61.0 0.02632 16.3 16.0 1.50   Ia      -4   ESO 113-G018                   Brimacombe et al. (2015s)  Kuncarayakti et al. (2015a)    
ASASSN-15jb ---     2015-05-13.37       11.00        34.0 0.03566 17.3 17.0 6.00   Ia      0    2MASX J11200680+3407396        Fernandez et al. (2015d)   Balam & Graham (2015a)         
ASASSN-15jf ---     2015-05-12.40       22.00       -50.0 0.03600 16.2 16.2 1.60   Ia      -9   GALEXASC J222510.84-502347.7   Brimacombe et al. (2015t)  Morrell (2015)                 
ASASSN-15jg ---     2015-05-15.15       10.00        -2.0 0.03600 16.9 16.9 4.00   Ia      0    SDSS J104655.44-021927.0       Brimacombe et al. (2015t)  Pan et al. (2015a)             
ASASSN-15ji ---     2015-05-17.38       23.00       -22.0 0.05559 17.0 17.0 13.50  Ia      6    ESO 536-G008                   Brimacombe et al. (2015u)  Pan et al. (2015b)             
ASASSN-15jl ---     2015-05-13.39       15.00        50.0 0.03475 17.5 16.1 1.00   Ia      -10  SDSS J152241.16+505836.0       Brimacombe et al. (2015v)  Hosseinzadeh et al. (2015a)    
